type,perimeter,compactness,length,length_g,width,asymmetry_coef
1,14.84,0.871,5.763,5.22,3.312,2.221
1,14.57,0.8811,5.554,4.956,3.333,1.018
1,14.09,0.905,5.291,4.825,3.337,2.699
1,13.94,0.8955,5.324,4.805,3.379,2.259
1,14.99,0.9034,5.658,5.175,3.562,1.355
1,14.49,0.8799,5.563,5.219,3.259,3.586
1,14.1,0.8911,5.42,5,3.302,2.7
1,15.46,0.8747,6.053,5.877,3.465,2.04
1,15.25,0.888,5.884,5.533,3.505,1.969
1,14.16,0.8796,5.438,5.001,3.201,1.717
1,14.02,0.888,5.439,4.738,3.199,3.986
1,14.75,0.9058,5.527,5.046,3.514,1.599
1,14.21,0.9153,5.205,4.649,3.466,1.767
1,13.57,0.8686,5.226,4.914,3.049,4.102
1,14.4,0.8584,5.658,5.176,3.129,3.072
1,14.26,0.8722,5.52,5.219,3.168,2.688
1,14.9,0.8988,5.618,5.091,3.507,0.7651
1,14.76,0.8657,5.789,5.001,3.245,1.791
1,15.16,0.8849,5.833,5.307,3.421,0.903
1,13.76,0.8641,5.395,4.825,3.026,3.373
1,13.67,0.8564,5.395,4.869,2.956,2.504
1,14.18,0.882,5.541,5.038,3.221,2.754
1,13.82,0.8662,5.454,5.056,2.975,0.8551
1,14.94,0.8724,5.757,5.228,3.371,3.412
1,14.41,0.8529,5.717,5.299,3.186,3.92
1,14.17,0.8728,5.585,5.012,3.15,2.124
1,14.68,0.8779,5.712,5.36,3.328,2.129
1,15,0.9,5.709,5.443,3.485,2.27
1,15.27,0.8734,5.826,5.527,3.464,2.823
1,15.38,0.9079,5.832,5.484,3.683,2.956
1,14.52,0.8823,5.656,5.309,3.288,3.112
1,13.85,0.8871,5.348,5.178,3.156,2.587
1,13.55,0.9009,5.138,4.783,3.201,2.461
1,14.54,0.8986,5.579,5.18,3.462,3.128
1,14.76,0.8861,5.701,5.132,3.393,1.367
1,14.52,0.8819,5.545,5.111,3.291,2.704
1,14.67,0.8676,5.678,5.351,3.258,2.129
1,14.91,0.8923,5.674,5.136,3.434,5.593
1,14.61,0.8538,5.715,5.396,3.113,4.116
1,14.28,0.8831,5.504,5.224,3.199,3.328
1,14.77,0.8658,5.702,5.439,3.212,1.933
1,14.35,0.8818,5.388,5.044,3.377,2.802
1,14.43,0.9006,5.384,5.088,3.412,1.142
1,13.47,0.8392,5.159,4.519,3.032,1.502
1,13.84,0.868,5.395,5.088,3.07,4.157
1,13.57,0.8716,5.262,4.782,3.026,1.176
1,13.5,0.8879,5.139,4.607,3.119,2.352
1,14.37,0.8726,5.63,5.15,3.19,1.313
1,14.29,0.8625,5.609,5.132,3.158,2.217
1,14.39,0.8726,5.569,5.3,3.153,1.464
1,13.75,0.8458,5.412,5.067,2.882,3.533
2,15.98,0.8673,6.191,6.06,3.561,4.076
2,15.67,0.8623,5.998,5.877,3.484,4.675
2,16.26,0.9081,6.154,6.079,3.93,2.936
2,15.62,0.8638,5.927,5.795,3.438,4.92
2,16.49,0.875,6.445,6.362,3.639,5.064
2,15.55,0.8892,5.85,5.746,3.566,2.858
2,15.34,0.8823,5.875,5.88,3.467,5.532
2,16.19,0.8977,6.006,5.879,3.857,5.324
2,16.89,0.8894,6.285,6.187,3.864,5.173
2,16.74,0.8779,6.384,6.273,3.772,1.472
2,16.09,0.887,6.173,6.197,3.651,2.443
2,16.26,0.8969,6.084,6.109,3.764,1.649
2,16.66,0.859,6.549,6.498,3.67,3.691
2,17.05,0.9031,6.45,6.321,4.032,5.016
2,16.29,0.8906,6.272,6.053,3.693,3.237
2,15.65,0.8648,6.139,5.967,3.463,3.696
2,16.59,0.8815,6.341,6.238,3.81,3.477
2,16.57,0.8687,6.449,6.453,3.552,2.144
2,16.26,0.8637,6.271,6.273,3.512,2.853
2,16.34,0.881,6.219,6.097,3.684,2.188
2,15.86,0.8992,5.89,5.837,3.694,2.068
2,16.63,0.8717,6.369,6.229,3.681,3.357
2,16.42,0.8829,6.248,6.148,3.755,3.368
2,16.29,0.8917,6.037,5.879,3.786,2.553
2,16.17,0.9056,6.152,6.2,3.806,2.843
2,15.86,0.88,6.033,5.929,3.573,3.747
2,16.12,0.8921,6.107,5.794,3.769,2.235
2,16.72,0.8716,6.303,5.965,3.791,3.678
2,16.31,0.9035,6.183,5.924,3.902,2.109
2,16.61,0.8722,6.259,6.053,3.737,6.682
2,17.25,0.8859,6.563,6.316,3.991,4.677
2,16.45,0.8854,6.416,6.163,3.719,2.248
2,16.2,0.9077,6.051,5.75,3.897,4.334
2,16.9,0.8811,6.493,6.32,3.857,3.063
2,16.91,0.8897,6.315,6.188,3.962,5.901
2,16.12,0.8772,6.059,6.011,3.563,3.619
2,15.38,0.8588,5.762,5.703,3.387,4.286
2,15.97,0.9077,5.98,5.905,3.771,2.984
2,14.89,0.9064,5.363,5.144,3.582,3.336
2,16.18,0.8999,6.111,5.992,3.869,4.188
2,17.03,0.8735,6.513,6.185,3.773,1.91
2,15.66,0.8991,5.791,5.661,3.69,5.366
2,15.89,0.9108,5.979,5.962,3.755,2.837
2,15.33,0.8644,5.845,5.795,3.395,4.266
2,14.89,0.8823,5.776,5.847,3.408,4.972
2,14.66,0.899,5.477,5.439,3.465,3.6
2,15.76,0.8785,6.145,5.971,3.574,3.526
3,13.92,0.848,5.472,5.395,2.994,5.304
3,13.94,0.8613,5.541,5.44,3.073,7.035
3,13.95,0.862,5.389,5.307,3.074,5.995
3,13.13,0.8167,5.279,5.275,2.687,6.169
3,13.13,0.8335,5.176,5.132,2.719,2.221
3,13.46,0.8658,5.267,5.002,2.967,4.421
3,13.71,0.8491,5.386,5.316,2.911,3.26
3,12.93,0.8107,5.317,5.194,2.648,5.462
3,13.23,0.8496,5.263,5.307,2.84,5.195
3,13.52,0.8249,5.405,5.27,2.776,6.992
3,13.04,0.8266,5.22,5.001,2.693,3.332
3,13.05,0.8382,5.175,5.263,2.755,4.048
3,13.05,0.8253,5.25,5.219,2.675,5.813
3,12.87,0.8596,5.053,5.003,2.849,3.347
3,13.73,0.8081,5.394,5.22,2.745,4.825
3,13.22,0.8263,5.304,5.31,2.695,5.388
3,13.67,0.8425,5.451,5.491,2.879,3.082
3,13.33,0.8503,5.35,5.308,2.81,4.271
3,13.57,0.8558,5.333,5.176,2.968,4.419
3,12.79,0.8558,5.011,5.049,2.794,6.388
3,13.45,0.8443,5.417,5.338,2.837,3.638
3,13,0.8359,5.09,5.088,2.715,3.521
3,13,0.8189,5.325,5.163,2.701,6.735
3,12.97,0.8419,5.088,5,2.763,4.309
3,13.08,0.8375,5.136,5.089,2.763,5.588
3,12.96,0.8099,5.278,5.185,2.641,5.182
3,13.01,0.8355,5.186,5.092,2.71,5.335
3,12.73,0.8329,5.145,4.963,2.642,4.702
3,13.05,0.8473,5.18,5.002,2.758,5.876
3,13.41,0.8706,5.236,5.147,3.017,4.987
3,13.07,0.8575,5.108,5.135,2.85,5.209
3,13.77,0.8541,5.495,5.316,3.026,6.185
3,13.31,0.8198,5.363,5.182,2.683,4.062
3,13.45,0.8198,5.413,5.352,2.716,4.898
3,12.8,0.8372,5.088,4.956,2.675,4.179
3,12.82,0.8594,5.089,4.957,2.821,7.524
3,12.8,0.839,5.046,5.045,2.717,5.398
3,13.02,0.8795,5.132,5.132,2.953,3.597
3,13.27,0.8639,5.236,5.012,2.975,4.132
3,13.53,0.8786,5.224,4.958,3.054,5.483
3,13.78,0.8849,5.32,5.091,3.128,4.67
3,13.67,0.8481,5.41,5.231,2.911,3.306
3,13.44,0.8609,5.219,5.045,2.989,5.472
3,13.32,0.8977,4.984,4.745,3.135,2.3
3,13.47,0.8567,5.204,5.001,2.96,3.919
3,13.2,0.8783,5.137,4.87,2.981,3.631
3,12.88,0.8511,5.14,5.003,2.795,4.325
3,13.21,0.8521,5.175,5.044,2.836,3.598
2,15.91,0.8599,6.064,5.922,3.403,3.824
2,16.05,0.9066,6.037,5.877,3.86,6.001
2,16.5,0.8985,6.113,6.009,3.892,4.308
2,15.18,0.885,5.872,5.922,3.472,3.769
